code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,id_assessment,date_submitted,is_banked,score,id_site,date,sum_click
FFF,2013J,598299,M,London Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-71.0,,34878.0,32.0,0.0,82.0,716222.0,86.0,2.0
FFF,2014J,677111,F,West Midlands Region,Lower Than A Level,20-30%,0-35,0,120,N,Pass,-79.0,,34902.0,136.0,0.0,70.0,882608.0,169.0,26.0
FFF,2014J,253633,M,South West Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,-37.0,,34908.0,177.0,0.0,83.0,883192.0,35.0,1.0
DDD,2013B,291133,M,Scotland,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,-83.0,,25345.0,152.0,0.0,94.0,547867.0,1.0,1.0
DDD,2014B,601956,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,-134.0,,24294.0,207.0,0.0,28.0,773455.0,212.0,3.0
FFF,2013B,554852,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,90,N,Pass,-48.0,,34866.0,59.0,0.0,94.0,527169.0,40.0,2.0
FFF,2014J,2427845,M,South East Region,HE Qualification,10-20,35-55,0,60,N,Pass,-46.0,,34909.0,216.0,0.0,77.0,882537.0,86.0,1.0
FFF,2013B,534431,F,South Region,HE Qualification,70-80%,0-35,0,60,N,Pass,-102.0,,34871.0,207.0,0.0,79.0,526762.0,84.0,6.0
FFF,2014J,647399,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,120,Y,Pass,-154.0,,34904.0,33.0,0.0,92.0,882650.0,231.0,3.0
CCC,2014J,350267,F,South West Region,A Level or Equivalent,50-60%,0-35,0,130,N,Withdrawn,23.0,159.0,24297.0,147.0,0.0,49.0,909267.0,24.0,1.0
BBB,2014B,2602679,F,Wales,A Level or Equivalent,30-40%,35-55,0,60,N,Distinction,-64.0,,15019.0,200.0,0.0,100.0,768380.0,190.0,1.0
EEE,2014B,2026585,M,Ireland,HE Qualification,,35-55,0,30,N,Distinction,-29.0,,24298.0,219.0,0.0,71.0,790816.0,167.0,1.0
FFF,2014B,1514245,M,East Midlands Region,Lower Than A Level,0-10%,35-55,0,90,N,Withdrawn,-97.0,94.0,34886.0,32.0,0.0,88.0,779339.0,9.0,1.0
DDD,2013B,2358423,F,South East Region,A Level or Equivalent,10-20,0-35,1,120,Y,Pass,-88.0,,25341.0,25.0,0.0,67.0,547966.0,73.0,2.0
FFF,2013B,550736,M,South Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-25.0,,34870.0,192.0,0.0,78.0,526737.0,13.0,3.0
DDD,2013B,418490,M,South Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,-97.0,,25337.0,114.0,0.0,48.0,547556.0,27.0,1.0
FFF,2014J,674699,F,South Region,No Formal quals,90-100%,0-35,0,120,N,Distinction,-57.0,,34903.0,199.0,0.0,90.0,882537.0,7.0,5.0
DDD,2014J,628593,F,London Region,A Level or Equivalent,10-20,0-35,0,60,Y,Pass,-39.0,,25368.0,245.0,0.0,40.0,814166.0,203.0,1.0
FFF,2013J,578281,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,150,N,Distinction,-144.0,,34878.0,4.0,0.0,100.0,716653.0,66.0,3.0
FFF,2013J,136894,M,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Pass,-130.0,,34879.0,111.0,0.0,78.0,716216.0,119.0,1.0
FFF,2014J,676064,M,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,60,N,Distinction,-63.0,,34907.0,234.0,0.0,86.0,883037.0,150.0,1.0
DDD,2014J,653793,M,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-63.0,,25365.0,111.0,0.0,93.0,814065.0,120.0,1.0
DDD,2014B,523857,F,West Midlands Region,HE Qualification,20-30%,0-35,0,120,Y,Pass,-110.0,,25359.0,156.0,0.0,78.0,773402.0,110.0,2.0
FFF,2013J,610933,M,South Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-15.0,,34875.0,102.0,0.0,63.0,716434.0,235.0,2.0
FFF,2013B,1905259,M,North Western Region,A Level or Equivalent,20-30%,35-55,0,60,N,Distinction,-83.0,,34869.0,159.0,0.0,83.0,527376.0,85.0,2.0
FFF,2013B,544991,M,North Western Region,A Level or Equivalent,40-50%,0-35,0,120,N,Pass,-24.0,,34862.0,84.0,0.0,93.0,526738.0,217.0,1.0
FFF,2013B,554558,M,Yorkshire Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction,-49.0,,34871.0,172.0,0.0,94.0,527203.0,165.0,3.0
FFF,2014B,239345,M,South Region,HE Qualification,60-70%,35-55,0,60,N,Pass,-17.0,,34889.0,128.0,0.0,79.0,779075.0,34.0,2.0
BBB,2013B,535140,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,150,N,Pass,-111.0,,14991.0,60.0,0.0,80.0,542864.0,188.0,1.0
DDD,2014B,35502,M,West Midlands Region,HE Qualification,30-40%,0-35,0,60,N,Withdrawn,-73.0,37.0,25355.0,14.0,0.0,66.0,772990.0,7.0,2.0
FFF,2014B,621441,F,Yorkshire Region,Lower Than A Level,20-30%,35-55,0,90,N,Pass,-57.0,,34887.0,51.0,0.0,68.0,779639.0,167.0,1.0
CCC,2014J,310765,M,Yorkshire Region,HE Qualification,40-50%,35-55,0,30,N,Pass,-108.0,,24293.0,157.0,0.0,88.0,909020.0,104.0,1.0
FFF,2013B,539497,M,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-82.0,,34861.0,46.0,0.0,92.0,526833.0,164.0,3.0
DDD,2013B,2444632,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-29.0,,25336.0,79.0,0.0,93.0,547774.0,102.0,1.0
FFF,2014J,646053,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,120,Y,Pass,-87.0,,34904.0,116.0,0.0,87.0,882537.0,173.0,7.0
CCC,2014B,610575,M,West Midlands Region,HE Qualification,40-50%,0-35,0,60,N,Pass,-103.0,,30710.0,71.0,0.0,97.0,729671.0,120.0,5.0
FFF,2013J,609439,M,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-32.0,,34879.0,142.0,0.0,97.0,716643.0,172.0,3.0
CCC,2014J,631573,F,North Western Region,Lower Than A Level,40-50%,0-35,0,30,N,Pass,-60.0,,24297.0,147.0,0.0,52.0,909020.0,9.0,1.0
BBB,2014B,627285,F,Scotland,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-35.0,,15013.0,193.0,0.0,69.0,768331.0,217.0,1.0
FFF,2014J,674262,F,Wales,HE Qualification,40-50%,0-35,0,90,N,Distinction,-46.0,,34906.0,74.0,0.0,92.0,882581.0,37.0,1.0
FFF,2013J,419024,F,Ireland,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,-29.0,,34876.0,130.0,0.0,82.0,717015.0,222.0,2.0
FFF,2013J,581034,F,West Midlands Region,Lower Than A Level,20-30%,35-55,0,90,N,Pass,-144.0,,34875.0,95.0,0.0,63.0,716671.0,-4.0,1.0
FFF,2013J,599289,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Distinction,-66.0,,34883.0,200.0,0.0,100.0,716434.0,215.0,1.0
FFF,2014J,1450604,M,North Region,A Level or Equivalent,70-80%,35-55,1,90,N,Pass,-155.0,,34900.0,51.0,0.0,76.0,883041.0,110.0,2.0
FFF,2013B,525632,M,Ireland,A Level or Equivalent,,35-55,1,210,N,Pass,-113.0,,34868.0,221.0,0.0,65.0,527507.0,46.0,2.0
FFF,2013J,598285,M,South West Region,Lower Than A Level,10-20,35-55,0,120,Y,Pass,-71.0,,34881.0,112.0,0.0,88.0,716318.0,8.0,17.0
FFF,2013J,594162,M,North Western Region,Lower Than A Level,0-10%,35-55,0,120,N,Pass,-80.0,,34878.0,4.0,0.0,70.0,716660.0,47.0,1.0
FFF,2014J,380952,F,South East Region,Lower Than A Level,70-80%,0-35,0,60,N,Pass,-5.0,,34907.0,238.0,0.0,82.0,973777.0,238.0,13.0
DDD,2014B,607130,M,East Midlands Region,Lower Than A Level,80-90%,0-35,0,120,N,Pass,-51.0,,25360.0,198.0,0.0,63.0,772991.0,65.0,14.0
FFF,2013J,564981,F,West Midlands Region,A Level or Equivalent,10-20,0-35,0,60,N,Distinction,-74.0,,34883.0,180.0,0.0,94.0,716334.0,218.0,2.0
FFF,2013J,2487982,M,South East Region,HE Qualification,30-40%,35-55,4,60,N,Pass,-150.0,,34878.0,31.0,0.0,75.0,716222.0,69.0,2.0
BBB,2014B,365111,F,Scotland,HE Qualification,30-40%,0-35,1,75,Y,Withdrawn,-75.0,198.0,15016.0,84.0,0.0,60.0,768348.0,37.0,2.0
BBB,2014J,493460,F,West Midlands Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,-122.0,,15024.0,200.0,0.0,82.0,942393.0,95.0,1.0
CCC,2014J,480115,M,South East Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-144.0,,30710.0,67.0,0.0,79.0,909020.0,193.0,1.0
AAA,2014J,358182,M,South Region,Lower Than A Level,80-90%,0-35,0,120,N,Pass,-96.0,,1759.0,54.0,0.0,72.0,877040.0,237.0,1.0
FFF,2014J,2603027,M,South East Region,A Level or Equivalent,70-80%,35-55,0,90,N,Pass,-15.0,,34905.0,65.0,0.0,84.0,883036.0,1.0,1.0
FFF,2013J,523680,M,East Anglian Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,-75.0,,34876.0,129.0,0.0,86.0,716216.0,167.0,3.0
BBB,2013B,501550,F,West Midlands Region,A Level or Equivalent,70-80%,0-35,1,120,N,Pass,-44.0,,14991.0,60.0,0.0,100.0,542891.0,30.0,1.0
FFF,2013J,591872,M,North Western Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass,-95.0,,34874.0,44.0,0.0,62.0,716216.0,40.0,2.0
BBB,2014J,586502,F,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,N,Pass,-2.0,,37417.0,173.0,0.0,50.0,913685.0,37.0,1.0
DDD,2013B,2088765,F,South Region,HE Qualification,90-100%,35-55,0,70,Y,Pass,-64.0,,24282.0,28.0,0.0,96.0,547958.0,30.0,5.0
FFF,2013J,606711,M,Ireland,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-36.0,,34879.0,115.0,0.0,94.0,716222.0,229.0,1.0
BBB,2013J,427921,F,West Midlands Region,Lower Than A Level,10-20,0-35,0,60,N,Pass,-142.0,,15004.0,102.0,0.0,100.0,704073.0,17.0,1.0
CCC,2014J,684270,M,South East Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail,-53.0,,24297.0,147.0,0.0,71.0,909268.0,4.0,1.0
EEE,2013J,586047,M,West Midlands Region,A Level or Equivalent,80-90%,0-35,0,30,N,Pass,-100.0,,24296.0,69.0,0.0,86.0,551012.0,161.0,8.0
EEE,2013J,290382,M,London Region,Lower Than A Level,10-20,0-35,0,60,N,Distinction,-59.0,,30711.0,124.0,0.0,94.0,551162.0,112.0,1.0
DDD,2013B,2602486,F,West Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,-25.0,,25337.0,115.0,0.0,71.0,547303.0,38.0,3.0
FFF,2013J,2639319,F,Scotland,HE Qualification,10-20,35-55,0,60,N,Pass,-80.0,,34881.0,172.0,0.0,80.0,716660.0,120.0,5.0
DDD,2013J,325497,F,South West Region,A Level or Equivalent,20-30%,0-35,0,90,N,Fail,-152.0,,24295.0,21.0,0.0,67.0,673740.0,-18.0,1.0
CCC,2014J,327057,M,South East Region,HE Qualification,50-60%,0-35,0,100,N,Pass,-51.0,,24296.0,69.0,0.0,100.0,909013.0,154.0,1.0
FFF,2013B,500652,M,East Anglian Region,Lower Than A Level,80-90%,0-35,0,60,N,Pass,-18.0,,34867.0,73.0,0.0,55.0,526745.0,146.0,1.0
DDD,2013J,599854,F,South Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,-43.0,,25348.0,21.0,0.0,53.0,673519.0,61.0,1.0
BBB,2013B,511067,F,South Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,-18.0,,14993.0,126.0,0.0,100.0,543040.0,117.0,2.0
FFF,2013J,569712,M,South Region,Lower Than A Level,50-60%,35-55,0,120,Y,Distinction,-149.0,,34880.0,48.0,0.0,96.0,716431.0,8.0,1.0
DDD,2013J,509102,M,South East Region,A Level or Equivalent,70-80%,0-35,0,150,N,Pass,-141.0,,24290.0,234.0,0.0,48.0,673519.0,129.0,3.0
DDD,2014J,656934,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Pass,-92.0,,25365.0,111.0,0.0,74.0,813969.0,25.0,2.0
FFF,2013B,549343,M,South Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-55.0,,34870.0,207.0,0.0,71.0,527204.0,32.0,5.0
DDD,2013J,331315,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,1,130,N,Pass,-23.0,,25351.0,123.0,0.0,89.0,674003.0,34.0,1.0
FFF,2013J,127642,F,Yorkshire Region,A Level or Equivalent,20-30%,35-55,1,120,N,Pass,-32.0,,34874.0,47.0,0.0,80.0,716441.0,235.0,1.0
DDD,2013B,2639451,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,2,180,Y,Distinction,-176.0,,25345.0,152.0,0.0,94.0,547303.0,83.0,3.0
FFF,2014J,305659,M,South East Region,A Level or Equivalent,80-90%,0-35,0,90,N,Distinction,-28.0,,34908.0,198.0,0.0,95.0,883037.0,23.0,2.0
FFF,2014J,80438,M,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-86.0,,34902.0,136.0,0.0,22.0,883152.0,239.0,2.0
EEE,2013J,575336,M,East Anglian Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,-122.0,,30712.0,169.0,0.0,79.0,551011.0,124.0,6.0
EEE,2014J,698011,F,West Midlands Region,HE Qualification,10-20,0-35,0,120,N,Pass,-8.0,,30722.0,164.0,0.0,78.0,832565.0,22.0,2.0
CCC,2014J,655353,M,London Region,HE Qualification,70-80%,35-55,0,150,N,Pass,-88.0,,34899.0,23.0,0.0,84.0,909062.0,147.0,1.0
CCC,2014J,76949,M,London Region,HE Qualification,50-60%,35-55,0,30,N,Pass,-37.0,,24299.0,244.0,0.0,90.0,909090.0,211.0,1.0
FFF,2014J,682569,M,South Region,A Level or Equivalent,20-30%,35-55,0,120,N,Pass,-71.0,,24299.0,244.0,0.0,82.0,882674.0,8.0,1.0
CCC,2014B,1930146,M,West Midlands Region,A Level or Equivalent,40-50%,35-55,0,45,N,Pass,-17.0,,24290.0,234.0,0.0,42.0,729822.0,95.0,3.0
FFF,2014J,633867,M,Scotland,Lower Than A Level,60-70%,0-35,0,90,N,Pass,-30.0,,34901.0,93.0,0.0,81.0,882592.0,96.0,1.0
CCC,2014B,548677,M,Ireland,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,-67.0,,24282.0,29.0,0.0,100.0,729671.0,67.0,1.0
FFF,2013B,546464,M,East Anglian Region,Lower Than A Level,80-90%,0-35,0,60,N,Distinction,-83.0,,34861.0,44.0,0.0,92.0,527219.0,180.0,1.0
DDD,2014B,2172136,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Distinction,-29.0,,24293.0,158.0,0.0,92.0,773112.0,-18.0,1.0
CCC,2014B,556295,M,North Region,Lower Than A Level,,0-35,0,30,N,Distinction,-29.0,,24282.0,31.0,0.0,92.0,730053.0,208.0,1.0
DDD,2013B,2146936,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,Fail,-60.0,,25334.0,24.0,0.0,71.0,547887.0,162.0,1.0
FFF,2013B,558597,M,North Region,A Level or Equivalent,20-30%,0-35,0,60,N,Distinction,-24.0,,34870.0,220.0,0.0,94.0,526853.0,130.0,7.0
FFF,2013B,543010,M,East Anglian Region,HE Qualification,30-40%,35-55,0,60,N,Fail,-95.0,,34861.0,47.0,0.0,62.0,527370.0,95.0,2.0
FFF,2014J,694716,M,Ireland,HE Qualification,90-100%,0-35,0,90,N,Pass,-23.0,,34908.0,222.0,0.0,98.0,882592.0,129.0,1.0
FFF,2013J,603341,M,North Region,Lower Than A Level,,0-35,0,60,N,Pass,-42.0,,34883.0,227.0,0.0,82.0,716263.0,79.0,1.0
CCC,2014B,2056643,M,Scotland,A Level or Equivalent,80-90%,0-35,0,60,Y,Distinction,-25.0,,24290.0,230.0,0.0,98.0,729786.0,227.0,2.0
BBB,2014J,681222,F,South East Region,HE Qualification,40-50%,35-55,0,60,N,Distinction,-23.0,,15023.0,152.0,0.0,88.0,937829.0,212.0,1.0
CCC,2014J,1773925,F,Wales,HE Qualification,0-10%,35-55,0,210,N,Distinction,-18.0,,24297.0,147.0,0.0,96.0,909240.0,236.0,1.0
CCC,2014J,402378,M,Yorkshire Region,HE Qualification,70-80%,0-35,0,40,N,Pass,-31.0,,24296.0,69.0,0.0,68.0,909013.0,63.0,2.0
CCC,2014J,633511,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,30,N,Pass,-46.0,,30715.0,64.0,0.0,88.0,909094.0,64.0,38.0
FFF,2013J,599245,M,South Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,-60.0,,34879.0,47.0,0.0,96.0,716682.0,135.0,1.0
BBB,2013J,2334319,M,Scotland,Lower Than A Level,80-90%,0-35,0,60,N,Pass,-28.0,,15007.0,210.0,0.0,100.0,703942.0,-9.0,1.0
FFF,2013J,199361,M,North Western Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction,-45.0,,24292.0,109.0,0.0,97.0,716844.0,92.0,2.0
FFF,2014B,589565,F,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Distinction,-53.0,,34887.0,50.0,0.0,88.0,779440.0,118.0,2.0
FFF,2013B,303595,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-25.0,,34870.0,189.0,0.0,83.0,526804.0,183.0,1.0
EEE,2014J,591523,M,South Region,A Level or Equivalent,40-50%,35-55,0,150,N,Pass,-2.0,,30719.0,32.0,0.0,98.0,832637.0,194.0,6.0
BBB,2014B,1782665,F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,N,Fail,-94.0,,15009.0,38.0,0.0,70.0,768377.0,79.0,6.0
BBB,2013B,497793,F,North Region,Lower Than A Level,20-30%,0-35,0,150,N,Pass,-128.0,,14991.0,60.0,0.0,100.0,542864.0,203.0,3.0
FFF,2014J,633568,M,North Western Region,Lower Than A Level,40-50%,35-55,0,60,N,Pass,-60.0,,34904.0,24.0,0.0,79.0,882545.0,31.0,4.0
DDD,2014B,628835,F,South East Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,-57.0,,25356.0,52.0,0.0,66.0,773008.0,156.0,16.0
BBB,2014B,444561,F,Wales,Lower Than A Level,60-70%,0-35,1,60,N,Pass,-184.0,,15016.0,84.0,0.0,100.0,768348.0,0.0,2.0
DDD,2013B,1690836,M,Scotland,A Level or Equivalent,60-70%,35-55,0,60,N,Distinction,-65.0,,25341.0,25.0,0.0,93.0,547275.0,201.0,5.0
FFF,2014J,685772,M,South Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,-46.0,,34904.0,3.0,0.0,83.0,941543.0,196.0,31.0
EEE,2014B,611024,F,North Region,Post Graduate Qualification,,35-55,0,30,N,Pass,-22.0,,30717.0,152.0,0.0,88.0,790827.0,126.0,6.0
FFF,2013B,554558,M,Yorkshire Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction,-49.0,,34860.0,16.0,0.0,100.0,526721.0,172.0,1.0
DDD,2013B,445573,F,South Region,A Level or Equivalent,50-60%,0-35,0,60,Y,Fail,-23.0,,25335.0,54.0,0.0,67.0,547851.0,25.0,1.0
CCC,2014B,554205,M,Ireland,Lower Than A Level,,0-35,0,60,N,Fail,-28.0,,24283.0,101.0,0.0,79.0,729677.0,144.0,7.0
FFF,2013J,29335,M,West Midlands Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction,-31.0,,34882.0,166.0,0.0,95.0,716238.0,180.0,6.0
AAA,2013J,1488959,M,London Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,-30.0,,1756.0,217.0,0.0,51.0,546686.0,150.0,7.0
CCC,2014J,499813,M,North Region,A Level or Equivalent,,0-35,0,150,N,Distinction,-42.0,,24298.0,219.0,0.0,96.0,909013.0,240.0,15.0
CCC,2014J,596332,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-129.0,,24299.0,244.0,0.0,84.0,909233.0,217.0,1.0
BBB,2014J,284762,F,East Midlands Region,A Level or Equivalent,10-20,0-35,2,60,N,Pass,-82.0,,15020.0,18.0,0.0,100.0,957624.0,130.0,1.0
DDD,2013B,523392,F,Wales,Lower Than A Level,0-10%,35-55,0,60,N,Fail,-119.0,,25342.0,54.0,0.0,81.0,547918.0,1.0,1.0
DDD,2014J,686018,M,North Region,HE Qualification,,0-35,0,90,N,Pass,-45.0,,25367.0,195.0,0.0,83.0,813955.0,221.0,1.0
FFF,2013B,313975,F,Scotland,Lower Than A Level,60-70%,35-55,1,120,N,Distinction,-30.0,,34860.0,18.0,0.0,84.0,527114.0,31.0,1.0
FFF,2014B,588145,M,South East Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,-236.0,,34895.0,207.0,0.0,81.0,779546.0,-18.0,1.0
DDD,2014J,594950,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,Distinction,-136.0,,25368.0,243.0,0.0,96.0,813706.0,-4.0,2.0
BBB,2013B,537488,F,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-73.0,,14995.0,189.0,0.0,100.0,542797.0,73.0,3.0
FFF,2014B,503183,M,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-50.0,,34886.0,14.0,0.0,80.0,779391.0,64.0,22.0
FFF,2013J,581135,M,South East Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,-124.0,,34875.0,95.0,0.0,89.0,716238.0,220.0,4.0
FFF,2013J,587451,M,Scotland,HE Qualification,40-50%,0-35,0,90,N,Pass,-95.0,,34876.0,129.0,0.0,65.0,716385.0,137.0,1.0
FFF,2014J,537322,M,Scotland,A Level or Equivalent,70-80%,35-55,1,120,N,Pass,-24.0,,34900.0,52.0,0.0,86.0,883064.0,2.0,1.0
DDD,2014J,651495,M,North Region,HE Qualification,,35-55,0,120,N,Distinction,-108.0,,24294.0,187.0,0.0,97.0,814034.0,117.0,1.0
DDD,2014J,466289,M,Ireland,Lower Than A Level,60-70%,0-35,0,90,N,Pass,-91.0,,25364.0,63.0,0.0,90.0,813701.0,125.0,1.0
FFF,2013J,589587,M,North Region,Lower Than A Level,,0-35,0,120,N,Pass,-72.0,,34881.0,189.0,0.0,79.0,716277.0,3.0,1.0
FFF,2014J,682981,M,London Region,A Level or Equivalent,10-20,0-35,0,120,Y,Distinction,-72.0,,34900.0,48.0,0.0,92.0,883064.0,20.0,2.0
FFF,2014J,498442,M,Ireland,A Level or Equivalent,50-60%,0-35,0,120,N,Distinction,-10.0,,34900.0,51.0,0.0,96.0,883036.0,199.0,1.0
FFF,2014J,619502,M,Scotland,HE Qualification,10-20,0-35,1,60,N,Pass,-14.0,,34906.0,234.0,0.0,80.0,883037.0,-2.0,1.0
BBB,2013J,583433,F,Scotland,HE Qualification,80-90%,35-55,0,60,N,Pass,-130.0,,15001.0,203.0,0.0,85.0,703741.0,123.0,6.0
BBB,2013B,404022,F,South West Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-30.0,,14994.0,164.0,0.0,100.0,543020.0,36.0,1.0
CCC,2014J,586594,M,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,90,N,Pass,-134.0,,34874.0,45.0,0.0,88.0,909020.0,1.0,9.0
FFF,2014J,640278,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass,-81.0,,34909.0,219.0,0.0,92.0,882545.0,112.0,4.0
DDD,2014J,602318,M,North Region,Lower Than A Level,,0-35,0,60,N,Distinction,-27.0,,25367.0,195.0,0.0,65.0,813955.0,128.0,1.0
CCC,2014J,372234,M,East Anglian Region,HE Qualification,60-70%,0-35,0,30,N,Pass,-74.0,,24292.0,108.0,0.0,84.0,909018.0,184.0,1.0
FFF,2014B,630759,M,London Region,No Formal quals,20-30%,0-35,0,120,N,Fail,-24.0,,34886.0,23.0,0.0,80.0,779349.0,23.0,1.0
FFF,2013J,589860,M,North Region,HE Qualification,,0-35,0,60,N,Pass,-108.0,,34880.0,137.0,0.0,65.0,716643.0,198.0,2.0
FFF,2013J,527713,M,North Western Region,Lower Than A Level,30-40%,0-35,0,60,N,Distinction,-145.0,,34877.0,177.0,0.0,100.0,716257.0,159.0,15.0
FFF,2013J,580657,M,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-67.0,,34884.0,220.0,0.0,73.0,716440.0,6.0,31.0
FFF,2014B,572870,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,120,N,Distinction,-248.0,,34888.0,81.0,0.0,89.0,779089.0,139.0,3.0
BBB,2013J,601934,F,North Western Region,Lower Than A Level,0-10%,35-55,0,180,N,Fail,-52.0,,14997.0,47.0,0.0,0.0,703721.0,16.0,2.0
FFF,2013J,583381,M,North Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,-31.0,,34878.0,214.0,0.0,83.0,716252.0,53.0,16.0
FFF,2014J,2081123,M,West Midlands Region,A Level or Equivalent,,0-35,0,60,N,Pass,-17.0,,34903.0,199.0,0.0,72.0,882577.0,196.0,1.0
AAA,2013J,187100,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction,-136.0,,1756.0,213.0,0.0,90.0,546657.0,41.0,5.0
FFF,2014B,632947,M,South East Region,Lower Than A Level,10-20,0-35,0,120,N,Pass,-27.0,,34890.0,171.0,0.0,73.0,779399.0,223.0,3.0
DDD,2014J,2432655,M,South Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,-41.0,,25368.0,242.0,0.0,49.0,813701.0,64.0,1.0
DDD,2013B,540694,M,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-53.0,,25347.0,209.0,0.0,56.0,547958.0,32.0,1.0
CCC,2014J,614804,M,Scotland,A Level or Equivalent,0-10%,0-35,1,60,Y,Pass,-74.0,,24292.0,112.0,0.0,70.0,909232.0,140.0,1.0
FFF,2013J,599683,F,Scotland,HE Qualification,30-40%,0-35,0,90,N,Distinction,-58.0,,34879.0,108.0,0.0,96.0,716378.0,107.0,2.0
BBB,2014J,690089,F,Ireland,Lower Than A Level,10-20,35-55,0,60,N,Pass,17.0,,15021.0,51.0,0.0,74.0,913473.0,223.0,6.0
EEE,2014J,677897,F,Scotland,HE Qualification,70-80%,0-35,0,150,N,Pass,-42.0,,30722.0,165.0,0.0,72.0,832675.0,228.0,2.0
FFF,2013J,546934,M,London Region,Lower Than A Level,10-20,0-35,0,60,N,Pass,-67.0,,34882.0,220.0,0.0,75.0,716216.0,44.0,2.0
FFF,2013B,387174,M,Ireland,A Level or Equivalent,50-60%,0-35,2,180,N,Pass,-137.0,,34863.0,125.0,0.0,75.0,527188.0,133.0,2.0
CCC,2014J,586594,M,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,90,N,Pass,-134.0,,24296.0,69.0,0.0,86.0,909013.0,15.0,21.0
FFF,2013B,2346679,M,South Region,A Level or Equivalent,80-90%,35-55,1,180,N,Pass,-44.0,,34866.0,81.0,0.0,81.0,526751.0,82.0,1.0
